Name,Calories
Classic Cheese Pizza,250
Pepperoni Pizza,275
Vegan Sausage And Pepper Pizza,245
 Butternut Squash Onion And Blue Cheese Pizza,185
Classic Cheese Pizza,250
Pepperoni Pizza,275
Vegan Sausage And Pepper Pizza,245
 Butternut Squash Onion And Blue Cheese Pizza,185
Scrambled Eggs,140
Turkey Sausage Patty,90
Cheese Grits,140
Veggie Quesadilla,405
Grilled Herbed Orange Chicken,155
Cheeseburger,400
Turkey Burger Patty,195
Beef Hot Dog,175
Chicken Tandoori,300
Cheeseburger,400
Turkey Burger Patty,195
Beef Hot Dog,175
Mediterranean Topped Hummus,545
Pita Bread,210
Greek Salad,165
Mediterranean Topped Hummus,545
Pita Bread,210
Greek Salad,165
French Toast Bar,205
Cinnamon Raisin Brioche French Toast,560
Berry Compote,60
Compote Strawberry,20
Apple Ginger Compote,60
Whipped Cream,10
Chocolate Glaze,110
Pesto Cavatappi & Vegetables,635
Turkey Chop Suey,145
Create Your Own Omelet Station,215
Diced Bacon,450
Diced Breakfast Ham,40
Diced Onions,10
Diced Green Peppers,5
Sauteed Mushrooms,40
Diced Tomatoes,20
Tofu,165
Shredded Cheddar Cheese,55
Egg Whites,45
Fried Egg,100
Create Your Own Stir Fry Station,0
Diced Chicken,140
Diced Beef,150
Baked Chicken,135
Roast Pork Butt,170
Chopped Fresh Spinach,25
Julienned Baby Bok Choy,15
Shredded Carrots,45
Sliced Mushrooms,25
Sliced Yellow Squash,20
Green Peas,85
Napa Cabbage,25
Edamame,165
Sliced Zucchini,20
Sliced Red Onions,45
Tofu,165
Brown Rice,105
Jasmine Rice,130
Soy Sauce,20
Orange Zesty Sauce,75
Create Your Own Bowl,0
Farro,250
Brown Rice,105
Tofu,165
Roasted Chickpeas,200
Roasted Yellow Squash,55
Roasted Zucchini,55
Roasted Red Peppers,10
Roasted Corn,110
Roasted Beets,20
Roasted Sweet Potatoes,110
Harissa,50
Jerk Bbq Sauce,60
On The Go Smoothie,170
The Island Smoothie,115
Kale & Pineapple Smoothie,70
Strawberry Passion Fruit Smoothie,30
Gatorade® Lemon-Lime,40
Broccoli  Cheddar Soup,220
Italian Wedding Soup,85
Broccoli  Cheddar Soup,220
Italian Wedding Soup,85
Pico De Gallo Avocado Toast,210
Apple Cinnamon Muffin,320
Fresh Fruit Salad,35
Oatmeal,180
Dried Cranberries,95
Raisins,85
Brown Sugar,55
Pork Burrito Bowl,335
Chocolate Chip Cookie,160
Fresh Fruit Cup,105
Vegetable Soup With Brown Rice,65
Penne,100
Pork Burrito Bowl,335
Chocolate Chip Cookie,160
Fresh Fruit Cup,105
Vegetable Soup With Brown Rice,65
Penne,100
Vegan Breakfast Bowl,290
Tofu Banh Mi,835
Crispy Yucca Chili Fries,270
Gardenburger Black Bean Burger,105
Steamed Green Peas,70
Aloo Gobi,145
Achiote Chicken ,80
Streets Cumin Roasted Vegetables,45
Cilantro-Lime Brown Rice,140
Sauteed Onions,100
Black Beans,160
Pinto Beans,165
Pico De Gallo,30
Chili Lime Corn Salad,160
Streets Crema,10
Salsa Roja,5
Salsa Guacamole,35
Queso Fresco,100
Shredded Iceberg Lettuce,0
Tortilla Chip,40
Dragon Fruit Agua Fresca,40
Mango-Lemon Agua Fresca,135
Horchata,330
Chipotle Shrimp,125
Achiote Chicken ,80
Carne Asada,115
Streets Cumin Roasted Vegetables,45
Cilantro-Lime Brown Rice,140
Sauteed Onions,100
Black Beans,160
Pinto Beans,165
Pico De Gallo,30
Chili Lime Corn Salad,160
Streets Crema,10
Salsa Roja,5
Salsa Guacamole,35
Queso Fresco,100
Shredded Iceberg Lettuce,0
Tortilla Chip,40
Dragon Fruit Agua Fresca,40
Mango-Lemon Agua Fresca,135
Horchata,330
Sargent Choice Carrot Raisin Muffin,280
Cinnamon Donuts,390
Raspberry White Chocolate Scone,210
Banana Bread,250
Assorted Cookies ,95
Lemon Cupcake,160
Brownie Cappuccino Mousse Parfait,190
Sargent Choice Vegan Apple Crisp,285
Assorted Cookies ,95
Devil's Food Cupcake,200
Cookies & Cream Blondie,270
Vegan Carrot Cake,250
Create Your Own Sandwich Station,0
Avocado Veggie Wrap,165
Create Your Own Sandwich Station,0
Create Your Own Salad Bar,0
Create Your Own Sandwich Station,0
Sargent Choice Grilled Chicken & Pesto,315
Avocado Veggie Wrap,165
Roast Beef Pretzel Panini,560
Create Your Own Sandwich Station,0
Create Your Own Salad Bar,0
Egg & Cheddar Quesadilla,735
Crispy French Fries,170
Diced Onions,10
Sliced Tomatoes,20
Green Leaf Lettuce,15
American Cheese,50
Swiss Cheese,55
Crispy French Fries,170
Diced Onions,10
Sliced Tomatoes,20
Green Leaf Lettuce,15
American Cheese,50
Swiss Cheese,55
Hard-Cooked Egg,80
Oatmeal,180
Brown Sugar,55
Raisins,85
Dried Fruit Mix ,70
Create Your Own,0
Create Your Own,0
Create Your Own,0
