Name,Ingredients,Station,Location,Meal Type,Item ID,DiningHall
Classic Cheese Pizza,"Ingredients: Shredded Mozzarella Cheese (whole and part-skim milk low moisture mozzarella cheese [pasteurized and cultured milk, cheese cultures, salt, enzymes], provolone cheese [pasteurized milk, cheese cultures, salt, and enzymes], potato starch, canola oil and cellulose powder added to prevent caking, natamycin [a natural mold inhibitor]), Pizza Sauce (tomatoes, tomato puree, salt, sugar, extra virgin olive oil, spices, dehydrated basil and garlic powder), 14"" Pizza Dough Sheet (enriched unbleached wheat flour [wheat flour, niacin, iron as ferrous sulfate, thiamine mononitrate, enzyme, riboflavin, folic acid], water, yeast, soybean oil, contains less than 2% of the following: high fructose corn syrup, salt, wheat gluten, sodium stearoyl lactylate, ascorbic acid, enzymes)",Brick Oven,Brick Oven,lunch,50,Warren
Pepperoni Pizza,"Ingredients: Shredded Mozzarella Cheese (whole and part-skim milk low moisture mozzarella cheese [pasteurized and cultured milk, cheese cultures, salt, enzymes], provolone cheese [pasteurized milk, cheese cultures, salt, and enzymes], potato starch, canola oil and cellulose powder added to prevent caking, natamycin [a natural mold inhibitor]), Pizza Sauce (tomatoes, tomato puree, salt, sugar, extra virgin olive oil, spices, dehydrated basil and garlic powder), 14"" Pizza Dough Sheet (enriched unbleached wheat flour [wheat flour, niacin, iron as ferrous sulfate, thiamine mononitrate, enzyme, riboflavin, folic acid], water, yeast, soybean oil, contains less than 2% of the following: high fructose corn syrup, salt, wheat gluten, sodium stearoyl lactylate, ascorbic acid, enzymes), Sliced Pepperoni (chicken, beef, halal beef, turkey, salt, water, corn syrup, dextrose, spices, smoke flavoring, natural smoke flavor, garlic powder, dehydrated garlic, oleoresin of paprika, paprika, extractive of paprika, rosemary extract, sodium ascorbate, sodium erythrobate, spice extractive, citric acid, lactic acid starter culture, bha, bht, sodium nitrite, bha, bht with citric acid added to help protect flavor)",Brick Oven,Brick Oven,lunch,51,Warren
Vegan Sausage And Pepper Pizza,"Ingredients: Fresh Bell Pepper, Pizza Sauce (tomatoes, tomato puree, salt, sugar, extra virgin olive oil, spices, dehydrated basil and garlic powder), Fresh Bell Pepper, Fresh Yellow Onion, Vegan Chorizo Sausage Crumbles (water, soy flour, corn oil, onions, paprika. contains 2% or less of garlic [garlic, water], salt, soy protein isolate, spices, citric acid, cooked onion and carrot juice concentrate, garlic powder, vinegar solids, onion powder, sugar, paprika extract color, natural flavor, faba bean protein, pea protein), Vegan Mozzarella Shreds (daiya oat cream blend [water, gluten-free oat flour, pea protein], tapioca starch, [highly refined] coconut oil, expeller pressed safflower oil, calcium phosphate, less than 2 percent of: corn starch, yeast extract, salt, dextrose, lactic acid, natural flavors), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper, 14"" Pizza Dough Sheet (enriched unbleached wheat flour [wheat flour, niacin, iron as ferrous sulfate, thiamine mononitrate, enzyme, riboflavin, folic acid], water, yeast, soybean oil, contains less than 2% of the following: high fructose corn syrup, salt, wheat gluten, sodium stearoyl lactylate, ascorbic acid, enzymes)",Brick Oven,Brick Oven,lunch,52,Warren
Spinach & Chicken Calzone (Sargent Choice),"Ingredients: Pizza Sauce (tomatoes, tomato puree, salt, sugar, extra virgin olive oil, spices, dehydrated basil and garlic powder), Halal Chicken Breast (boneless skinless chicken breasts with rib meat), Fresh Garlic, Ricotta Cheese (milk, pasteurized whey, cream, vinegar, and salt), Fresh Spinach, Shredded Asiago Cheese (asiago cheese [cultured pasteurized milk, salt, enzymes], cheese cultures, anti-caking blend [potato starch, powdered cellulose]), Shredded Mozzarella Cheese (whole and part-skim milk low moisture mozzarella cheese [pasteurized and cultured milk, cheese cultures, salt, enzymes], provolone cheese [pasteurized milk, cheese cultures, salt, and enzymes], potato starch, canola oil and cellulose powder added to prevent caking, natamycin [a natural mold inhibitor]), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Fresh Parsley, Ground Black Pepper, Granulated Garlic (garlic powder), Dried Oregano, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), 14"" Pizza Dough Sheet (enriched unbleached wheat flour [wheat flour, niacin, iron as ferrous sulfate, thiamine mononitrate, enzyme, riboflavin, folic acid], water, yeast, soybean oil, contains less than 2% of the following: high fructose corn syrup, salt, wheat gluten, sodium stearoyl lactylate, ascorbic acid, enzymes)",Brick Oven,Brick Oven,lunch,53,Warren
Cheesy Lasagna,"Ingredients: Spaghetti Sauce (tomato concentrate (water, tomato paste), corn syrup, salt, spices, dehydrated parsley, citric acid, natural flavor), Ricotta Cheese (milk, pasteurized whey, cream, vinegar, and salt), Liquid Egg Whites (egg whites, guar gum, and triethyl citrate), Shredded Mozzarella Cheese (whole and part-skim milk low moisture mozzarella cheese [pasteurized and cultured milk, cheese cultures, salt, enzymes], provolone cheese [pasteurized milk, cheese cultures, salt, and enzymes], potato starch, canola oil and cellulose powder added to prevent caking, natamycin [a natural mold inhibitor]), Shredded Asiago Cheese (asiago cheese [cultured pasteurized milk, salt, enzymes], cheese cultures, anti-caking blend [potato starch, powdered cellulose]), ""PASTA FROZEN SHEET EGG CKD 10.75"" X 9"" 4 OZ - THAWED"" (ingredient details unavailable at this time)",Brick Oven,Brick Oven,lunch,54,Warren
Classic Cheese Pizza,"Ingredients: Shredded Mozzarella Cheese (whole and part-skim milk low moisture mozzarella cheese [pasteurized and cultured milk, cheese cultures, salt, enzymes], provolone cheese [pasteurized milk, cheese cultures, salt, and enzymes], potato starch, canola oil and cellulose powder added to prevent caking, natamycin [a natural mold inhibitor]), Pizza Sauce (tomatoes, tomato puree, salt, sugar, extra virgin olive oil, spices, dehydrated basil and garlic powder), 14"" Pizza Dough Sheet (enriched unbleached wheat flour [wheat flour, niacin, iron as ferrous sulfate, thiamine mononitrate, enzyme, riboflavin, folic acid], water, yeast, soybean oil, contains less than 2% of the following: high fructose corn syrup, salt, wheat gluten, sodium stearoyl lactylate, ascorbic acid, enzymes)",Brick Oven,Brick Oven,dinner,128,Warren
Pepperoni Pizza,"Ingredients: Shredded Mozzarella Cheese (whole and part-skim milk low moisture mozzarella cheese [pasteurized and cultured milk, cheese cultures, salt, enzymes], provolone cheese [pasteurized milk, cheese cultures, salt, and enzymes], potato starch, canola oil and cellulose powder added to prevent caking, natamycin [a natural mold inhibitor]), Pizza Sauce (tomatoes, tomato puree, salt, sugar, extra virgin olive oil, spices, dehydrated basil and garlic powder), 14"" Pizza Dough Sheet (enriched unbleached wheat flour [wheat flour, niacin, iron as ferrous sulfate, thiamine mononitrate, enzyme, riboflavin, folic acid], water, yeast, soybean oil, contains less than 2% of the following: high fructose corn syrup, salt, wheat gluten, sodium stearoyl lactylate, ascorbic acid, enzymes), Sliced Pepperoni (chicken, beef, halal beef, turkey, salt, water, corn syrup, dextrose, spices, smoke flavoring, natural smoke flavor, garlic powder, dehydrated garlic, oleoresin of paprika, paprika, extractive of paprika, rosemary extract, sodium ascorbate, sodium erythrobate, spice extractive, citric acid, lactic acid starter culture, bha, bht, sodium nitrite, bha, bht with citric acid added to help protect flavor)",Brick Oven,Brick Oven,dinner,129,Warren
Vegan Sausage And Pepper Pizza,"Ingredients: Fresh Bell Pepper, Pizza Sauce (tomatoes, tomato puree, salt, sugar, extra virgin olive oil, spices, dehydrated basil and garlic powder), Fresh Bell Pepper, Fresh Yellow Onion, Vegan Chorizo Sausage Crumbles (water, soy flour, corn oil, onions, paprika. contains 2% or less of garlic [garlic, water], salt, soy protein isolate, spices, citric acid, cooked onion and carrot juice concentrate, garlic powder, vinegar solids, onion powder, sugar, paprika extract color, natural flavor, faba bean protein, pea protein), Vegan Mozzarella Shreds (daiya oat cream blend [water, gluten-free oat flour, pea protein], tapioca starch, [highly refined] coconut oil, expeller pressed safflower oil, calcium phosphate, less than 2 percent of: corn starch, yeast extract, salt, dextrose, lactic acid, natural flavors), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper, 14"" Pizza Dough Sheet (enriched unbleached wheat flour [wheat flour, niacin, iron as ferrous sulfate, thiamine mononitrate, enzyme, riboflavin, folic acid], water, yeast, soybean oil, contains less than 2% of the following: high fructose corn syrup, salt, wheat gluten, sodium stearoyl lactylate, ascorbic acid, enzymes)",Brick Oven,Brick Oven,dinner,130,Warren
Spinach & Chicken Calzone (Sargent Choice),"Ingredients: Pizza Sauce (tomatoes, tomato puree, salt, sugar, extra virgin olive oil, spices, dehydrated basil and garlic powder), Halal Chicken Breast (boneless skinless chicken breasts with rib meat), Fresh Garlic, Ricotta Cheese (milk, pasteurized whey, cream, vinegar, and salt), Fresh Spinach, Shredded Asiago Cheese (asiago cheese [cultured pasteurized milk, salt, enzymes], cheese cultures, anti-caking blend [potato starch, powdered cellulose]), Shredded Mozzarella Cheese (whole and part-skim milk low moisture mozzarella cheese [pasteurized and cultured milk, cheese cultures, salt, enzymes], provolone cheese [pasteurized milk, cheese cultures, salt, and enzymes], potato starch, canola oil and cellulose powder added to prevent caking, natamycin [a natural mold inhibitor]), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Fresh Parsley, Ground Black Pepper, Granulated Garlic (garlic powder), Dried Oregano, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), 14"" Pizza Dough Sheet (enriched unbleached wheat flour [wheat flour, niacin, iron as ferrous sulfate, thiamine mononitrate, enzyme, riboflavin, folic acid], water, yeast, soybean oil, contains less than 2% of the following: high fructose corn syrup, salt, wheat gluten, sodium stearoyl lactylate, ascorbic acid, enzymes)",Brick Oven,Brick Oven,dinner,131,Warren
Cheesy Lasagna,"Ingredients: Spaghetti Sauce (tomato concentrate (water, tomato paste), corn syrup, salt, spices, dehydrated parsley, citric acid, natural flavor), Ricotta Cheese (milk, pasteurized whey, cream, vinegar, and salt), Liquid Egg Whites (egg whites, guar gum, and triethyl citrate), Shredded Mozzarella Cheese (whole and part-skim milk low moisture mozzarella cheese [pasteurized and cultured milk, cheese cultures, salt, enzymes], provolone cheese [pasteurized milk, cheese cultures, salt, and enzymes], potato starch, canola oil and cellulose powder added to prevent caking, natamycin [a natural mold inhibitor]), Shredded Asiago Cheese (asiago cheese [cultured pasteurized milk, salt, enzymes], cheese cultures, anti-caking blend [potato starch, powdered cellulose]), ""PASTA FROZEN SHEET EGG CKD 10.75"" X 9"" 4 OZ - THAWED"" (ingredient details unavailable at this time)",Brick Oven,Brick Oven,dinner,132,Warren
Just Egg® & Sausage Sandwich,"Ingredients: Vegan Cheddar Cheese Slices (daiya oat cream blend [water, oat flour, pea protein, cultures, enzymes], highly-refined coconut oil, modified potato starch, corn starch, less than 2 percent of: konjac flour, fruit and vegetable juice [for color], yeast extract, annatto [for color], salt, tricalcium phosphate, xanthan gum, lactic acid, natural flavors), Pork Sausage Patty (pork, contains 2% or less of: water, salt, corn syrup solids, flavorings, sugar, dextrose, bht, propyl gallate, citric acid), Gluten-Free Hamburger Bun (water, modified tapioca starch, white rice flour, potato starch, corn starch, palm oil, evaporated cane juice, contains less than 2% of each of the following: millet flour, dried yeast [yeast, sorbitan monostearate], modified cellulose, canola oil, seasalt, sorghum flour, xanthan gum, guar gum, rice bran extract, cultured dextrose, calcium sulfate, enzymes, ascorbic acid), Vegan Egg Patty (water, mung bean protein, expeller-pressed canola oil, corn starch, contains less than 2% of baking powder [sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate], dehydrated garlic, dehydrated onion, carrot extractives and turmeric extractives [color], salt, transglutaminase)",Gluten Free,Gluten Free,breakfast,27,Warren
Crispy Tater Tots,"Ingredients: Tater Tots (potatoes, vegetable oil [contains one or more of the following oils: canola, soybean, cottonseed, sunflower, corn]. contains 2% or less of dextrose, natural flavor, salt, sodium acid pyrophosphate added to maintain color)",Gluten Free,Gluten Free,breakfast,28,Warren
Apple Cinnamon Muffin,"Ingredients: Apple Pie Filling (apple slices, water, high fructose corn syrup, food starch modified [corn], apple juice concentrate, natural fruit flavor, potassium sorbate [preservative], citric acid, spices, ascorbic acid to protect color), True Balance Vegan Buttery Spread ((palm kernel and palm oil, canola oil, water, sunflower oil, salt, pea protein, less than 2% of: sunflower lecithin, olive oil, lactic acid, natural flavor, annatto [extract] [color], vitamin a palmitate) ), Light Brown Sugar (brown sugar [when produced at chalmette or crockett facilities] sugar, molasses [when produced at south bay facility]), Gluten-Free All-Purpose Flour (sweet white rice flour, whole grain brown rice flour, potato starch, whole grain sweet white sorghum flour, tapioca flour, xanthan gum), Granulated Sugar, Original Oatmilk (oatmilk [filtered water, oats], calcium carbonate, dipotassium phosphate, sea salt, gellan gum, vitamin a palmitate, vitamin d2, riboflavin [vitamin b2] and vitamin b12), True Balance Vegan Buttery Spread ((palm kernel and palm oil, canola oil, water, sunflower oil, salt, pea protein, less than 2% of: sunflower lecithin, olive oil, lactic acid, natural flavor, annatto [extract] [color], vitamin a palmitate) ), Ground Cinnamon, Vegan Egg Replacer Powder (potato starch, tapioca flour, baking soda, psyllium husk fiber [MAY CONTAIN SESAME SEEDS, SOY, TREENUTS]), Baking Powder (sodium bicarbonate, cornstarch, sodium aluminum sulfate, monocalcium phosphate, silicon dioxide), Xanthan Gum, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Imitation Vanilla Extract  (water, vanillin, caramel color, ethyl vanillin and 0.1% potassium sorbate [added as a preservative])",Gluten Free,Gluten Free,breakfast,29,Warren
Fresh Fruit Salad,"Ingredients: Fresh Grapes, Fresh Pineapple, Fresh Cantaloupe, Fresh Honeydew Melon",Gluten Free,Gluten Free,breakfast,30,Warren
Oatmeal,"Ingredients: Water, Gluten Free Whole-Grain Oats (gluten free oats)",Gluten Free,Gluten Free,breakfast,31,Warren
Dried Cranberries,"Ingredients: Sweetened Dried Cranberries (cranberries, sugar, sunflower oil)",Gluten Free,Gluten Free,breakfast,32,Warren
Sunflower Seeds,Ingredients: Raw Hulled Sunflower Seeds ([MAY CONTAIN PEANUTS AND/OR TREENUTS]),Gluten Free,Gluten Free,breakfast,33,Warren
Raisins,Ingredients: Dark Seedless Raisins,Gluten Free,Gluten Free,breakfast,34,Warren
Brown Sugar,"Ingredients: Light Brown Sugar (brown sugar [when produced at chalmette or crockett facilities] sugar, molasses [when produced at south bay facility])",Gluten Free,Gluten Free,breakfast,35,Warren
Scrambled Eggs,"Ingredients: Liquid Whole Eggs (whole eggs, citric acid, 0.15% water added as carrier for citric acid. citric acid added to preserve color), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper",Gluten Free,Gluten Free,breakfast,36,Warren
