Name,Ingredients,Station,Location,Meal Type,Item ID,DiningHall
Scrambled Eggs,"Ingredients: Liquid Whole Eggs (whole eggs, citric acid, 0.15% water added as carrier for citric acid. citric acid added to preserve color), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper",Brick Oven,Brick Oven,breakfast,5,Marciano
Hard-Cooked Egg,"Ingredients: Hard Boiled Eggs (hard cooked eggs, water, citric acid, sodium benzoate, nisin preparation [as preservatives])",Brick Oven,Brick Oven,breakfast,6,Marciano
Turkey Sausage Patty,"Ingredients: Breakfast Turkey Sausage Patties (ground turkey, water, contains 2% or less of salt, spices, sugar, bha, bht, citric acid)",Brick Oven,Brick Oven,breakfast,7,Marciano
Home-Style Pancakes,"Ingredients: 2% Milk (reduced fat milk, vitamin a palmitate and vitamin d3), All Purpose Flour (bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), Liquid Egg Whites (egg whites, guar gum, and triethyl citrate), Water, Granulated Sugar, Smart Balance Margarine (oil blend [palm, soybean, canola, and olive oil], water, contains less than 2% of salt, enzyme-modified soybean lecithin, natural & artificial flavor, potassium sorbate and calcium disodium edta [to preserve freshness], lactic acid, vitamin a palmitate, beta-carotene color), Light Brown Sugar (brown sugar [when produced at chalmette or crockett facilities] sugar, molasses [when produced at south bay facility]), Baking Powder (sodium bicarbonate, cornstarch, sodium aluminum sulfate, monocalcium phosphate, silicon dioxide)",Brick Oven,Brick Oven,breakfast,8,Marciano
Santa Fe Potatoes,"Ingredients: Red Potato, Fresh Bell Pepper, Fresh Yellow Onion, Unsalted Butter (pasteurized cream (milk), natural flavorings), Taco Seasoning (dextrose, salt, corn flour, chili pepper, cumin, onion powder, garlic powder, oregano, citric acid, silicon dioxide [as anticaking agent], and extractives of paprika)",Brick Oven,Brick Oven,breakfast,9,Marciano
Sausage Egg & Cheese Frittata,"Ingredients: Liquid Whole Eggs (whole eggs, citric acid, 0.15% water added as carrier for citric acid. citric acid added to preserve color), ""SAUSAGE SKILLET FULLY COOKED FZ"" (ingredient details unavailable at this time), Shredded Cheddar Cheese (pasteurized milk, cheese culture, salt, enzymes and annatto [if colored]. potato starch and powdered cellulose added to prevent caking)",Brick Oven,Brick Oven,breakfast,10,Marciano
Classic Cheese Pizza,"Ingredients: Shredded Mozzarella Cheese (whole and part-skim milk low moisture mozzarella cheese [pasteurized and cultured milk, cheese cultures, salt, enzymes], provolone cheese [pasteurized milk, cheese cultures, salt, and enzymes], potato starch, canola oil and cellulose powder added to prevent caking, natamycin [a natural mold inhibitor]), Pizza Sauce (tomatoes, tomato puree, salt, sugar, extra virgin olive oil, spices, dehydrated basil and garlic powder), 14"" Pizza Dough Sheet (enriched unbleached wheat flour [wheat flour, niacin, iron as ferrous sulfate, thiamine mononitrate, enzyme, riboflavin, folic acid], water, yeast, soybean oil, contains less than 2% of the following: high fructose corn syrup, salt, wheat gluten, sodium stearoyl lactylate, ascorbic acid, enzymes)",Brick Oven,Brick Oven,lunch,35,Marciano
Pepperoni Pizza,"Ingredients: Shredded Mozzarella Cheese (whole and part-skim milk low moisture mozzarella cheese [pasteurized and cultured milk, cheese cultures, salt, enzymes], provolone cheese [pasteurized milk, cheese cultures, salt, and enzymes], potato starch, canola oil and cellulose powder added to prevent caking, natamycin [a natural mold inhibitor]), Pizza Sauce (tomatoes, tomato puree, salt, sugar, extra virgin olive oil, spices, dehydrated basil and garlic powder), 14"" Pizza Dough Sheet (enriched unbleached wheat flour [wheat flour, niacin, iron as ferrous sulfate, thiamine mononitrate, enzyme, riboflavin, folic acid], water, yeast, soybean oil, contains less than 2% of the following: high fructose corn syrup, salt, wheat gluten, sodium stearoyl lactylate, ascorbic acid, enzymes), Sliced Pepperoni (chicken, beef, halal beef, turkey, salt, water, corn syrup, dextrose, spices, smoke flavoring, natural smoke flavor, garlic powder, dehydrated garlic, oleoresin of paprika, paprika, extractive of paprika, rosemary extract, sodium ascorbate, sodium erythrobate, spice extractive, citric acid, lactic acid starter culture, bha, bht, sodium nitrite, bha, bht with citric acid added to help protect flavor)",Brick Oven,Brick Oven,lunch,36,Marciano
Vegan Sausage And Pepper Pizza,"Ingredients: Fresh Bell Pepper, Pizza Sauce (tomatoes, tomato puree, salt, sugar, extra virgin olive oil, spices, dehydrated basil and garlic powder), Fresh Bell Pepper, Fresh Yellow Onion, Vegan Chorizo Sausage Crumbles (water, soy flour, corn oil, onions, paprika. contains 2% or less of garlic [garlic, water], salt, soy protein isolate, spices, citric acid, cooked onion and carrot juice concentrate, garlic powder, vinegar solids, onion powder, sugar, paprika extract color, natural flavor, faba bean protein, pea protein), Vegan Mozzarella Shreds (daiya oat cream blend [water, gluten-free oat flour, pea protein], tapioca starch, [highly refined] coconut oil, expeller pressed safflower oil, calcium phosphate, less than 2 percent of: corn starch, yeast extract, salt, dextrose, lactic acid, natural flavors), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper, 14"" Pizza Dough Sheet (enriched unbleached wheat flour [wheat flour, niacin, iron as ferrous sulfate, thiamine mononitrate, enzyme, riboflavin, folic acid], water, yeast, soybean oil, contains less than 2% of the following: high fructose corn syrup, salt, wheat gluten, sodium stearoyl lactylate, ascorbic acid, enzymes)",Brick Oven,Brick Oven,lunch,37,Marciano
 Butternut Squash Onion And Blue Cheese Pizza,"Ingredients: Fresh Red Onion, Fresh Butternut Squash, Fresh Arugula, Blue Cheese Crumbles (blue cheese [cultured pasteurized milk, cheese culture, salt, enzymes, penicillium roqueforti], powdered cellulose [to prevent caking], natamycin [mold inhibitor]), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Granulated Garlic (garlic powder), Dried Oregano, Ground Black Pepper, Whole-Grain Sandwich Flatbread (whole wheat flour, enriched unbleached wheat flour [wheat flour, malted barley flour, ascorbic acid added as a dough conditioner, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], water, soybean oil, yeast, contains less than 2% of the following: sugar, nonfat dry milk, wheat gluten, salt, leavening [sodium acid pyrophosphate, baking soda, monocalcium phosphate], sodium stearoyl lactylate, guar gum)",Brick Oven,Brick Oven,lunch,38,Marciano
Classic Cheese Pizza,"Ingredients: Shredded Mozzarella Cheese (whole and part-skim milk low moisture mozzarella cheese [pasteurized and cultured milk, cheese cultures, salt, enzymes], provolone cheese [pasteurized milk, cheese cultures, salt, and enzymes], potato starch, canola oil and cellulose powder added to prevent caking, natamycin [a natural mold inhibitor]), Pizza Sauce (tomatoes, tomato puree, salt, sugar, extra virgin olive oil, spices, dehydrated basil and garlic powder), 14"" Pizza Dough Sheet (enriched unbleached wheat flour [wheat flour, niacin, iron as ferrous sulfate, thiamine mononitrate, enzyme, riboflavin, folic acid], water, yeast, soybean oil, contains less than 2% of the following: high fructose corn syrup, salt, wheat gluten, sodium stearoyl lactylate, ascorbic acid, enzymes)",Brick Oven,Brick Oven,dinner,130,Marciano
Pepperoni Pizza,"Ingredients: Shredded Mozzarella Cheese (whole and part-skim milk low moisture mozzarella cheese [pasteurized and cultured milk, cheese cultures, salt, enzymes], provolone cheese [pasteurized milk, cheese cultures, salt, and enzymes], potato starch, canola oil and cellulose powder added to prevent caking, natamycin [a natural mold inhibitor]), Pizza Sauce (tomatoes, tomato puree, salt, sugar, extra virgin olive oil, spices, dehydrated basil and garlic powder), 14"" Pizza Dough Sheet (enriched unbleached wheat flour [wheat flour, niacin, iron as ferrous sulfate, thiamine mononitrate, enzyme, riboflavin, folic acid], water, yeast, soybean oil, contains less than 2% of the following: high fructose corn syrup, salt, wheat gluten, sodium stearoyl lactylate, ascorbic acid, enzymes), Sliced Pepperoni (chicken, beef, halal beef, turkey, salt, water, corn syrup, dextrose, spices, smoke flavoring, natural smoke flavor, garlic powder, dehydrated garlic, oleoresin of paprika, paprika, extractive of paprika, rosemary extract, sodium ascorbate, sodium erythrobate, spice extractive, citric acid, lactic acid starter culture, bha, bht, sodium nitrite, bha, bht with citric acid added to help protect flavor)",Brick Oven,Brick Oven,dinner,131,Marciano
Vegan Sausage And Pepper Pizza,"Ingredients: Fresh Bell Pepper, Pizza Sauce (tomatoes, tomato puree, salt, sugar, extra virgin olive oil, spices, dehydrated basil and garlic powder), Fresh Bell Pepper, Fresh Yellow Onion, Vegan Chorizo Sausage Crumbles (water, soy flour, corn oil, onions, paprika. contains 2% or less of garlic [garlic, water], salt, soy protein isolate, spices, citric acid, cooked onion and carrot juice concentrate, garlic powder, vinegar solids, onion powder, sugar, paprika extract color, natural flavor, faba bean protein, pea protein), Vegan Mozzarella Shreds (daiya oat cream blend [water, gluten-free oat flour, pea protein], tapioca starch, [highly refined] coconut oil, expeller pressed safflower oil, calcium phosphate, less than 2 percent of: corn starch, yeast extract, salt, dextrose, lactic acid, natural flavors), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper, 14"" Pizza Dough Sheet (enriched unbleached wheat flour [wheat flour, niacin, iron as ferrous sulfate, thiamine mononitrate, enzyme, riboflavin, folic acid], water, yeast, soybean oil, contains less than 2% of the following: high fructose corn syrup, salt, wheat gluten, sodium stearoyl lactylate, ascorbic acid, enzymes)",Brick Oven,Brick Oven,dinner,132,Marciano
 Butternut Squash Onion And Blue Cheese Pizza,"Ingredients: Fresh Red Onion, Fresh Butternut Squash, Fresh Arugula, Blue Cheese Crumbles (blue cheese [cultured pasteurized milk, cheese culture, salt, enzymes, penicillium roqueforti], powdered cellulose [to prevent caking], natamycin [mold inhibitor]), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Granulated Garlic (garlic powder), Dried Oregano, Ground Black Pepper, Whole-Grain Sandwich Flatbread (whole wheat flour, enriched unbleached wheat flour [wheat flour, malted barley flour, ascorbic acid added as a dough conditioner, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], water, soybean oil, yeast, contains less than 2% of the following: sugar, nonfat dry milk, wheat gluten, salt, leavening [sodium acid pyrophosphate, baking soda, monocalcium phosphate], sodium stearoyl lactylate, guar gum)",Brick Oven,Brick Oven,dinner,133,Marciano
Grits With Spinach ,"Ingredients: Water, Hominy Grits (degerminated white corn grits, niacinamide*, reduced iron, thiamin mononitrate*, riboflavin*, folic acid*.*one of the b vitamins), Fresh Spinach, Fresh Yellow Onion, Fresh Tomatoes, Low-Sodium Gluten-Free Vegetable Base (sauteed vegetable puree mix [carrots, onions, celery], salt, sugar, maltodextrin, corn oil, 2% or less of yeast extract, water, potato starch, xanthan gum, natural flavors, carrot juice concentrate), Tomato Paste (vine ripened fresh tomatoes, citric acid), Extra Virgin Olive Oil, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps])",Concept Kitchen,Concept Kitchen,lunch,39,Marciano
Fried Plantains,"Ingredients: Sweet Sliced Plantain, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps])",Concept Kitchen,Concept Kitchen,lunch,40,Marciano
Akra,"Ingredients: ""VEGETABLE FRESH YUCA - PEELED, CUBED"" (ingredient details unavailable at this time), Liquid Egg Whites (egg whites, guar gum, and triethyl citrate), Fresh Shallot, Garlic Powder ([garlic]), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Fresh Parsley, Onion Powder, White Pepper, Scallion",Concept Kitchen,Concept Kitchen,lunch,41,Marciano
