Name,Calories
Classic Cheese Pizza,250
Pepperoni Pizza,275
Vegan Sausage And Pepper Pizza,245
Spinach & Chicken Calzone (Sargent Choice),1575
Cheesy Lasagna,295
Classic Cheese Pizza,250
Pepperoni Pizza,275
Vegan Sausage And Pepper Pizza,245
Spinach & Chicken Calzone (Sargent Choice),1575
Cheesy Lasagna,295
Just Egg® & Sausage Sandwich,545
Crispy Tater Tots,95
Apple Cinnamon Muffin,320
Fresh Fruit Salad,35
Oatmeal,180
Dried Cranberries,95
Sunflower Seeds,165
Raisins,85
Brown Sugar,55
Scrambled Eggs,140
Pork Sausage Patty,180
Channa Masala,85
Steamed Fresh Broccoli,20
Basmati Rice,135
Tomato Soup With Garden Vegetables,70
Pastelon ,515
Caribbean Inspired Jerk Chicken Soup,60
Wild Rice Soup,30
Scrambled Eggs,140
Turkey Sausage Link,95
Hash Brown Potato Patty,100
Hard-Cooked Egg,80
Sargent Choice Whole Wheat French Toast,150
Garden Herb Scrambled Eggs,160
Whole Wheat Pancakes,235
Cluck Chicken Tenders,270
Black Strap Bbq Sauce,135
Dill Pickle Slices,5
Buffalo Sauce,10
Light Ranch Dressing,80
Crispy Waffle Fries,165
Crispy Chicken,260
Spicy Oil,205
Coleslaw Dressing  ,125
Cheese Sauce,40
Martin's® Potato Roll,150
Macked Burger Bacon,50
Cluck Chicken Tenders,270
Black Strap Bbq Sauce,135
Dill Pickle Slices,5
Buffalo Sauce,10
Light Ranch Dressing,80
Crispy Waffle Fries,165
Crispy Chicken,260
Spicy Oil,205
Coleslaw Dressing  ,125
Cheese Sauce,40
Martin's® Potato Roll,150
Macked Burger Bacon,50
Create Your Own Omelet Station,215
Diced Breakfast Ham,40
Diced Onions,10
Diced Green Peppers,5
Sauteed Mushrooms,40
Tofu,165
Shredded Cheddar Cheese,55
Egg Whites,45
Fried Egg,100
Swiss Cheese,55
Provolone Cheese,100
Sauteed Chorizo,535
Crispy Bacon Bits,225
Create Your Own Stir-Fry,0
Diced Beef,150
Baked Chicken,135
Garbanzo Beans,70
Chopped Fresh Spinach,25
Julienned Baby Bok Choy,15
Shredded Carrots,45
Sliced Mushrooms,25
Sliced Yellow Squash,20
Green Peas,85
Napa Cabbage,25
Edamame,165
Sliced Zucchini,20
Sliced Red Onions,45
Tofu,165
Brown Rice,105
Jasmine Rice,130
Soy Sauce,20
Orange Zesty Sauce,75
Lo Mein Noodles,155
Create Your Own Stir-Fry,0
Diced Beef,150
Baked Chicken,135
Chopped Fresh Spinach,25
Julienned Baby Bok Choy,15
Shredded Carrots,45
Sliced Mushrooms,25
Sliced Yellow Squash,20
Green Peas,85
Napa Cabbage,25
Edamame,165
Sliced Zucchini,20
Sliced Red Onions,45
Tofu,165
Brown Rice,105
Jasmine Rice,130
Soy Sauce,20
Orange Zesty Sauce,75
Lo Mein Noodles,155
Southwest Style Black Bean Soup,170
Beef Barley & Vegetable Soup,40
Southwest Style Black Bean Soup,170
Beef Barley & Vegetable Soup,40
Creamy Vegan Mac & Cheese,410
Sauteed Peppers And Onions,105
Korean Bbq Tofu,135
Seasoned Rice,125
Pork And Beef Vindaloo,535
Yellow Lentil Dal,285
Chinese Hot And Sour Soup With Pork,120
Rogan Josh,415
Sargent Choice Chana Masala,220
Chinese Hot And Sour Soup With Pork,120
Chicken Tikka Masala,95
Acai Berry Smoothie,115
Egg & Cheese Biscuit Sandwich,265
Achiote Chicken ,80
Mojo Pork,190
Streets Cumin Roasted Vegetables,45
Cilantro-Lime Brown Rice,140
Sauteed Onions,100
Black Beans,160
Pinto Beans,165
Pico De Gallo,30
Chili Lime Corn Salad,160
Streets Crema,10
Salsa Roja,5
Salsa Guacamole,35
Queso Fresco,100
Shredded Iceberg Lettuce,0
Tortilla Chip,40
Mango-Lemon Agua Fresca,135
Achiote Chicken ,80
Carne Asada,115
Streets Cumin Roasted Vegetables,45
Cilantro-Lime Brown Rice,140
Sauteed Onions,100
Black Beans,160
Pinto Beans,165
Pico De Gallo,30
Chili Lime Corn Salad,160
Streets Crema,10
Salsa Roja,5
Salsa Guacamole,35
Queso Fresco,100
Shredded Iceberg Lettuce,0
Tortilla Chip,40
Mango-Lemon Agua Fresca,135
Edamame Rice With Cabbage,135
Edamame Rice With Cabbage,135
Sargent Choice Blueberry Muffin,200
Glazed Donuts,255
Apple Crumb Cupcake,155
Assorted Cookies ,95
Chocolate Cupcake,155
Fruity Fruit Loop® Bar,185
Vegan Brownie,450
Assorted Cookies ,95
Vegan Raspberry Banana Cake,270
Double Chocolate Brownie,240
Chocolate Cupcake,155
Vegan Vanilla Cupcakes,305
Create Your Own Sandwich Station,0
Sargent Choice Baja Beef Wrap,235
Chunky Chicken Salad,245
Granola,205
Hummus With Veggie Dippers,110
Apple Slices With Sunbutter,260
Create Your Own Sandwich Station,0
Create Your Own Salad Bar,0
Create Your Own Sandwich Station,0
Sargent Choice Baja Beef Wrap,235
Granola,205
Hummus With Veggie Dippers,110
Apple Slices With Sunbutter,260
Create Your Own Sandwich Station,0
Create Your Own Salad Bar,0
Create Your Own,0
Create Your Own,0
Create Your Own,0
